192.168.0.1,Authentication failed
192.168.0.2,Authentication failed
192.168.0.3,Socket error
192.168.0.4,Authentication failed
192.168.0.1,Authentication succeeded,Le mot de passe de la machine 192.168.0.1 a bien été changé : Of7#We2%Iz1[
192.168.0.2,Authentication succeeded,Le mot de passe de la machine 192.168.0.2 a bien été changé : Od7^Ok5-Hf7$
192.168.0.3,Socket error
192.168.0.4,Authentication failed
192.168.0.1,Authentication failed
192.168.0.2,Authentication failed
192.168.0.3,Socket error
192.168.0.4,Authentication failed
